"No.","CVEGEO_MUN","NOM_MUN","Clave.de.Obra","Informe.de.Gobierno","Periodo","Región","Subclasificación","Rubro","Macrorregión","Ejercicio","Obra","Municipio","Localidad","Inversión","Avance","Habitantes.beneficiados","Ejecutora","Origen","Meta","Trabajos","X20","X21","name","POB1","POBS","loc_lim","municipios_original"
918,13048,"Pachuca de Soto",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Infraestructura de Seguridad Pública","Espacios Públicos","Macrorregión 1. Pachuca",2023,"Construcción de dormitorios Cereso Módulo 2, Pachuca de Soto, Hgo.","Pachuca de Soto","Varias",11124708.97,"0.614",NA,"DGOPI","Innovación 2023",NA,"Considera trabajos en infraestructura en Seguridad Pública en CERESO en el municipio de Pachuca de Soto.",3922,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
919,13048,"Pachuca de Soto",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2023,"Reconstrucción de pavimento en calle Francisco Villa, colonia Felipe Ángeles, Pachuca, Hgo.","Pachuca de Soto","Varias",1972801,"1",NA,"DGCCE","Innovación a Junio 2024",0.26,"Considera los trabajos de demolición por medios mecánicos de concreto simple, barrido de la superficie por tratar, piso para pavimento de concreto hidráulico.",297848,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
920,13048,"Pachuca de Soto",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2023,"Construcción de pavimentación en calle Topacio, colonia Punta Kristal, Pachuca, Hgo.","Pachuca de Soto","Varias",1007674.91,"1",NA,"DGCCE","Innovación a Junio 2024",0.11,"Considera los trabajos de preliminares, piso para pavimento de concreto hidráulico.",297848,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
921,13048,"Pachuca de Soto","2024/C037","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Construcción de pavimentación concreto hidráulico en calle Ejido 10, Matilde, municipio de Pachuca de Soto","Pachuca de Soto","Varias",6437578.42,"1",NA,"DGCCE","Cartera SIPDUS 2024",0.523,"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto hidráulico.",450,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
922,13048,"Pachuca de Soto","2024/C117","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Reconstrucción asfáltica de Circuito Calle 14 y Calle 15, en la Col. Piracantos, Tercera Sección, en el municipio de Pachuca de Soto","Pachuca de Soto","Varias",2898856.44,"1",NA,"DGCCE","Cartera SIPDUS 2024",0.54,"Se realizan los siguientes trabajos: trazo y nivelación de plazas, suministro y aplicación de carpeta asfáltica compactado.",1344,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
923,13048,"Pachuca de Soto","2024/C047","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Construcción de pavimentación concreto hidráulico en Calle Colonias, Venecia en el municipio de Pachuca de Soto","Pachuca de Soto","Varias",2993278.36,"1",NA,"DGCCE","Cartera SIPDUS 2024",0.223,"Considera los trabajos de preliminares, riego de impregnación, piso para pavimento de concreto hidráulico.",524,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
924,13048,"Pachuca de Soto","2024/C111","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2024,"Rehabilitación asfáltica Cto. México, en el Fraccionamiento Geovillas, municipio de Pachuca de Soto","Pachuca de Soto","Varias",2378611.61,"1",NA,"DGCCE","Cartera SIPDUS 2024",0.175,"Se realizan los siguientes trabajos: trazo y nivelación de plazas, suministro y aplicación de carpeta asfáltica compactado,  en el municipio de Pachuca de Soto",267862,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
925,13048,"Pachuca de Soto","2024/C425","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Ordenamiento Territorial","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Rehabilitación y mejoramiento de la imagen urbana de avenida Álamo del 0+000 al Km 1+020, El Tezontle, municipio de Pachuca de Soto.","Pachuca de Soto","Varias",8324393.57,"0.4001",NA,"DGCCE","Innovación OCTUBRE 2026",NA,"Considera trabajos en en mejoramiento de la Imagen Urbana en El Tezontle en el municipio de Pachuca de Soto.",297848,"1.02","Municipio_1",314331,314331,"varias","Pachuca de Soto"
926,13048,"Pachuca de Soto","2024/C827","3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Infraestructura de Seguridad Pública","Espacios Públicos","Macrorregión 1. Pachuca",2024,"Rehabilitación de obra interior y exterior en el Cuartel Cubitos, en el municipio de Pachuca de Soto.","Pachuca de Soto","Varias",2979540.72,"0.81",NA,"DGOPI","Innovación 2024",NA,"Considera trabajos en infraestructura en Seguridad Pública en el municipio de Pachuca de Soto.",297848,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
927,13048,"Pachuca de Soto","2025/FAFEF-00095","3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 1. Pachuca",2025,"Reconstrucción del Boulevard Las Torres Cuerpo Izquierdo a base de concreto hidraulico, tramo del km 0+000 al km 6+490.","Pachuca de Soto","Varias",289591643.94,"0",NA,"SIP","Innovación 2025",6.49,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Pachuca de Soto",267862,NA,"Municipio_1",314331,314331,"varias","Pachuca de Soto"
928,13051,"Mineral de la Reforma","2024/C279","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca&#10;V Mineral de la reforma","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 1. Pachuca",2024,"Estudios de impacto ambiental, análisis costo beneficio y diseño de pavimento y geotecnia para la reconstrucción  del boulevard Las Torres, en los municipios de Pachuca de Soto y Mineral de la Reforma.","Mineral de la Reforma","Varias",747051.605042353,"0.9845",NA,"DGEP","Cartera SIPDUS 2024",NA,"Considera los estudios y proyecto ejecutivo.",0,"1 estudio","Municipio_2",202749,517080,"varias","Mineral de la Reforma,Pachuca de Soto"
929,13051,"Mineral de la Reforma","2024/C401","2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca&#10;V Mineral de la reforma","Carreteras Construidas y Modernizadas","Infraestructura Carretera","Macrorregión 1. Pachuca",2024,"Estudios de impacto ambiental y análisis costo beneficio para la continuación de la construcción de la vialidad y el encauzamiento del río de las avenidas, municipio de Mineral de la Reforma","Mineral de la Reforma","Varias",1130154.98832252,"0.582",NA,"DGEP","Cartera SIPDUS 2024",NA,"Considera los estudios y proyecto ejecutivo.",0,"1 estudio","Municipio_2",202749,517080,"varias","Mineral de la Reforma,Pachuca de Soto"
930,13022,"Epazoyucan",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","Cobertura Estatal","Planta de tratamiento","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 2 mdp en la adquisición de equipamiento a las plantas de tratamiento de aguas residuales Matilde, Providencia y Solares.","Epazoyucan","Varias",49109.5660897783,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Ejecuta trabajos para el mantenimiento y mejoramiento de la Planta de tratamiento en la localidad de Atlaltipa Huitzotlaco municipio de Atlapexco.",82944,NA,"Municipio_3",16285,665929,"varias","Epazoyucan,Mineral de la Reforma,Mineral del Monte,Pachuca de Soto,San Agustín Tlaxiaca,Zapotlán de Juárez,Zempoala"
931,13009,"El Arenal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Telemetría y control en zona de cobertura de la CAASIM","El Arenal","Varias",1578067.84755488,"0",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",123000,NA,"Municipio_6",19836,790175,"varias","El Arenal,Epazoyucan,Mineral de la Reforma,Mineral del Chico,Mineral del Monte,Pachuca de Soto,San Agustín Tlaxiaca,Singuilucan,Tepeapulco,Tlanalapa,Villa de Tezontepec,Zapotlán de Juárez,Zempoala"
932,13009,"El Arenal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Agua potable","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Adquisición de equipos de bombeo para la zona de influencia de la CAASIM.","El Arenal","Varias",331196.100365463,"1",NA,"CAASIM","Cartera CAASIM 2024 338 mdp",NA,"Considera la adquisición de equipos de bombeo en el municipio de Pachuca de Soto.",123000,NA,"Municipio_6",19836,790175,"varias","El Arenal,Epazoyucan,Mineral de la Reforma,Mineral del Chico,Mineral del Monte,Pachuca de Soto,San Agustín Tlaxiaca,Singuilucan,Tepeapulco,Tlanalapa,Villa de Tezontepec,Zapotlán de Juárez,Zempoala"
933,13009,"El Arenal",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","III Pachuca de Soto","Otros (Adquisiciones, compras, pagos, estudios)","Infraestructura Hídrica","Macrorregión 1. Pachuca",2024,"Contrucción, ampliación y rehabilitación de obra civil, en la zona de influencia de la CAASIM en los bienes inmuebles no propiedad de la CAASIM-2024","El Arenal","Varias",323177.030700389,"0.08",NA,"CAASIM","Recursos Propios 132 mdp recursos propios 2024",NA,"Se ejecutan acciones para la ejecución de obras en Infraestructura hídrica.",1108,NA,"Municipio_6",19836,790175,"varias","El Arenal,Epazoyucan,Mineral de la Reforma,Mineral del Chico,Mineral del Monte,Pachuca de Soto,San Agustín Tlaxiaca,Singuilucan,Tepeapulco,Tlanalapa,Villa de Tezontepec,Zapotlán de Juárez,Zempoala"
934,13051,"Mineral de la Reforma",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","III Pachuca de Soto","Alcantarillado sanitario","Infraestructura Hídrica","Macrorregión 1. Pachuca",2022,"Inversión de 4.1 mdp en construcción de colector sanitario Azoyatla-Viaducto Rojo Gómez, (etapa ocho de 10) municipios de Mineral de la Reforma y Pachuca.","Mineral de la Reforma","Pachuca y Mineral de la Reforma",1610124.98433993,"1",NA,"CAASIM","OBRAS SEP 2022 - JUNIO 2023 52 MDP CAASIM",NA,"Considera los trabajos de excavaciones, instalación de  tubería.",3398,NA,"Municipio_2",202749,517080,"pachuca y mineral de la reforma","Mineral de la Reforma,Pachuca de Soto"
939,13047,"Pacula","2024/C629","2do. Informe JMS","septiembre 2023-agosto 2024","XII Jacala de Ledezma","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Rehabilitación de pavimento en carretera principal de Pacula a la Estancia en tramos de las comunidades del Puerto Jilialpan a la Mohonera, municipio de Pacula.","Pacula","Varias",7105879.16,"0.3562",NA,"DGIVC","Cartera SIPDUS 2024",1.4,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Pacula",1316,NA,"Municipio_1",4748,4748,"varias","Pacula"
940,13047,"Pacula",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Líneas de distribución","Infraestructura Hídrica","Macrorregión 5. Ixmiquilpan",2023,"Construcción de línea ""conducción"" para agua potable, derivación La Puerta-Jiliapan, Los Fresnos, Canoas y Jiliapan en el municipio de Pacula","Pacula","Varias",14997000,"0.93",NA,"SIPDUS","PRESUPUESTO 2023 SIPDUS",NA,"Considera los trabajos de instalación de tubería, rellenos con material producto de excavación, prueba de la tubería en la comunidad.",540,NA,"Municipio_1",4748,4748,"varias","Pacula"
948,13049,"Pisaflores",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2023,"Construcción de muros de contención en el camino rural Pisaflores - El Nogal - La Minita, municipio de Pisaflores","Pisaflores","Varias",516977.42,"1",NA,"DGOPI","Innovación 2024",0,"Considera en los trabajos la construcción de muros de contención en camino rural Pisaflores.",2605,NA,"Municipio_1",18723,18723,"varias","Pisaflores"
949,13049,"Pisaflores",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de cuarto dormitorio, en el municipio de Pisaflores","Pisaflores","Varias",2881070.82,"1",112,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",18723,18723,"varias","Pisaflores"
950,13049,"Pisaflores",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XII Jacala de Ledezma","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de Cuarto Dormitorio, en el municipio de Pisaflores","Pisaflores","Varias",1014500.16,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",40,NA,"Municipio_1",18723,18723,"varias","Pisaflores"
951,13049,"Pisaflores","2024/C553","2do. Informe JMS","septiembre 2023-agosto 2024","XII Jacala de Ledezma","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 5. Ixmiquilpan",2024,"Construcción de pavimento tramo Tripuente a Chalahuite, en el municipio de Pisaflores.","Pisaflores","Varias",3928301.05,"0.68",NA,"DGIVC","Cartera SIPDUS 2024",0.42,"Considera los trabajos de preliminares y pavimento en el municipio de Pisaflores.",1326,NA,"Municipio_1",18723,18723,"varias","Pisaflores"
956,13036,"San Agustín Metzquititlán",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","IX Zacualtipán de Ángeles","Agua potable","Infraestructura Hídrica","Macrorregión 4. Huejutla",2024,"Construcción de sistema integral de agua potable San Agustín Metzquititlán. (Apartadero y La Cañada de Agua Bendita) Etapa cuatro de seis","San Agustín Metzquititlán","Apartadero y La Cañada de Agua Bendita",3230750.4636,"1",NA,"CEAA","Plan de Trabajo CEAA 2024",NA,"Considera los trabajos de líneas de distribución con la instalación de tubería, tomas domiciliarias. en la localidad de Apartadero y La Cañada de Agua Bendita municipio de  San Agustín Metzquititlán",105,NA,"Municipio_1",9449,9449,"apartadero y la canada de agua bendita","San Agustín Metzquititlán"
962,13036,"San Agustín Metzquititlán",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","IX Zacualtipán de Ángeles","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 4. Huejutla",2025,"Pavimentación asfáltica del camino El Carrizo - La Peña - Veladero - Agua Bendita, en el municipio de San Agustín Metzquititlán","San Agustín Metzquititlán","San Agustín Meztquititlán",13342438.04,"0",NA,"SIPDUS","Rutas de la transformación",NA,NA,NA,NA,"Municipio_1",9449,9449,"san agustin meztquititlan","San Agustín Metzquititlán"
999,13052,"San Agustín Tlaxiaca",NA,"3er. Informe JMS","septiembre 2024-agosto 2025","III Pachuca de Soto","Vialidades Urbanas","Vialidades Urbanas","Macrorregión 1. Pachuca",2025,"Reconstrucción de pavimentación asfáltica de Av. Principal de acceso a la comunidad de Tornacuxtla, en el municipio de San Agustín Tlaxiaca","San Agustín Tlaxiaca","Tornacuxtla",27413944.24,"0",NA,"DGIVC","Cartera 2025 SIPDUS",NA,NA,NA,NA,"Municipio_1",38891,38891,"tornacuxtla","San Agustín Tlaxiaca"
1001,13053,"San Bartolo Tutotepec",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2024,"Construcción de cuartos dormitorios en el municipio de San Bartolo Tutotepec","San Bartolo Tutotepec","El Nandho, El Piñal, El Veinte, La Joya, Palo Gordo, Rancho Nuevo, San Jerónimo",4488446.89,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",120,NA,"Municipio_1",17699,17699,"el nandho, el pinal, el veinte, la joya, palo gordo, rancho nuevo, san jeronimo","San Bartolo Tutotepec"
1005,13053,"San Bartolo Tutotepec",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2023,"Construcción de 30 cuartos dormitorio en el municipio de San Bartolo Tutotepec y Tenango de Doria","San Bartolo Tutotepec","Piedra Ancha,San Miguel",3892678.18,"1",NA,"CEVI","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",120,NA,"Municipio_1",17699,17699,"piedra ancha,san miguel","San Bartolo Tutotepec"
1011,13053,"San Bartolo Tutotepec",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2022,"Construcción de cuarto dormitorio, en el municipio de San Bartolo Tutotepec","San Bartolo Tutotepec","Varias",1025789.95,"1",NA,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",40,NA,"Municipio_1",17699,17699,"varias","San Bartolo Tutotepec"
1012,13053,"San Bartolo Tutotepec",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2022,"Construcción de Cuarto Dormitorio, en el municipio de San Bartolo Tutotepec","San Bartolo Tutotepec","Varias",4452272.62,"1",176,"DGIVC","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",NA,NA,"Municipio_1",17699,17699,"varias","San Bartolo Tutotepec"
1025,13046,"San Felipe Orizatlán",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","IV Huejutla de Reyes","Vivienda Asequible","Vivienda Asequible","Macrorregión 4. Huejutla",2022,"Construcción de cuarto dormitorio, en el municipio de San Felipe Orizatlán","San Felipe Orizatlán","Varias",3469909.71,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",136,NA,"Municipio_1",38492,38492,"varias","San Felipe Orizatlán"
1026,13046,"San Felipe Orizatlán","2024/C607","2do. Informe JMS","septiembre 2023-agosto 2024","IV Huejutla de Reyes","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 4. Huejutla",2024,"Rehabilitación de camino de Coacuilco a Pochotitla a Ahuimol, del Km 0.000 al Km 1.310, en el municipio de San Felipe Orizatlán.","San Felipe Orizatlán","Varias",1728995.1,"0.345",NA,"DGIyVC","Cartera SIPDUS 2024",1.3,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de San Felipe Orizatlán",398,NA,"Municipio_1",38492,38492,"varias","San Felipe Orizatlán"
1036,13054,"San Salvador",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de San Salvador","San Salvador","Demacu, San Antonio Zaragoza",794284.87,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",24,NA,"Municipio_1",36796,36796,"demacu, san antonio zaragoza","San Salvador"
1047,13054,"San Salvador",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VII Actopan","Sistema de agua potable","Infraestructura Hídrica","Macrorregión 2. Tula",2023,"Construcción de sistema de agua potable San Antonio Zaragoza, Poxindejé de Morelos y Bocaja, municipio de San Salvador, estado de hidalgo, etapa dos de dos","San Salvador","San Antonio Zaragoza, Poxindejé de Morelos y Bocaja",4930492.13,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Considera los trabajos de líneas de distribución con la instalación de tubería, tomas domiciliarias. en la localidad de San Antonio Zaragoza, Poxindejé de Morelos y Bocaja municipio de  San salvador",3607,NA,"Municipio_1",36796,36796,"san antonio zaragoza, poxindeje de morelos y bocaja","San Salvador"
1062,13055,"Santiago de Anaya",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de Santiago de Anaya","Santiago de Anaya","El Encino, El Palmar, González González, González Ortega, Hermosillo Monte Noble, La Blanca (Taxtho La Blanca), Patria Nueva, Santa Mónica, Santiago De Anaya, Yolotepec, Zaragoza",3174753.59,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",96,NA,"Municipio_1",18329,18329,"el encino, el palmar, gonzalez gonzalez, gonzalez ortega, hermosillo monte noble, la blanca (taxtho la blanca), patria nueva, santa monica, santiago de anaya, yolotepec, zaragoza","Santiago de Anaya"
1070,13055,"Santiago de Anaya",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 2. Tula",2024,"Equipamiento de pozo de agua potable y línea de conducción de abastecimiento,  para el sistema de agua potable en la localidad de Sección Sur","Santiago de Anaya","Sección Sur",3082099.71,"1",2676,"CEAA","Plan de Trabajo CEAA 2024",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en el  municipio deSantiago de Anaya",NA,NA,"Municipio_1",18329,18329,"seccion sur","Santiago de Anaya"
1071,13055,"Santiago de Anaya",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VII Actopan","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 2. Tula",2023,"""Pavimentación Hidráulica en acceso principal Boxaxni - Santa Mónica el Sitio (Segunda Etapa) .","Santiago de Anaya","Varias",13199291.85,"1",NA,"DGOPI","Innovación 2024",2.08,"Considera los trabajos de preliminares y pavimento hidráulico.",831,NA,"Municipio_1",18329,18329,"varias","Santiago de Anaya"
1072,13055,"Santiago de Anaya","2024/C275","2do. Informe JMS","septiembre 2023-agosto 2024","VII Actopan","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 2. Tula",2024,"Modernización y ampliación del C.R. Pozuelos - El Palmar; tramo del km 0+000 al 12+209, subtramo: del km 6+770 al km 12+209","Santiago de Anaya","Varias",38693637.89,"0.83",NA,"DGCCE","Cartera SIPDUS 2024",5.4,"Considera los trabajos de modernización del camino rural en el municipio de Santiago de Anaya.",2676,NA,"Municipio_1",18329,18329,"varias","Santiago de Anaya"
1082,13057,"Singuilucan","2024/C293","3er. Informe JMS","septiembre 2024-agosto 2025","II Tulancingo de Bravo","Caminos Pavimentados","Infraestructura Carretera","Macrorregión 3. Tulancingo",2024,"Pavimentación asfáltica de carretera Singuilucan - Francisco I Madero, tramo: La Conchita - La Gloria, en el municipio de Singuilucan","Singuilucan","Varias",10998958.47,"1",NA,"DGIVC","Cartera SIPDUS 2024 sin of. de auto.",1.7,"Considera los trabajos de capa subbase, riego de impregnación, suministro y aplicación de riego de liga con emulsión asfáltica",268,NA,"Municipio_1",15142,15142,"varias","Singuilucan"
1084,13058,"Tasquillo",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2024,"Construcción de cuartos dormitorios en el municipio de Tasquillo","Tasquillo","Bondhí, Danghu, El Durazno, Portezuelo, Remedios, San Antonio Caltimacán, San Isidro, Tasquillo",2806586.88,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",80,NA,"Municipio_1",17441,17441,"bondhi, danghu, el durazno, portezuelo, remedios, san antonio caltimacan, san isidro, tasquillo","Tasquillo"
1096,13058,"Tasquillo",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","VIII Ixmiquilpan","Vivienda Asequible","Vivienda Asequible","Macrorregión 5. Ixmiquilpan",2022,"Construcción de cuarto dormitorio, en el municipio de Tasquillo","Tasquillo","Varias",1025875.53,"1",NA,"DGCCE","Innovación",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",36,NA,"Municipio_1",17441,17441,"varias","Tasquillo"
1100,13059,"Tecozautla",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","XI Huichapan","Vivienda Asequible","Vivienda Asequible","Macrorregión 2. Tula",2024,"Construcción de cuartos dormitorios en el municipio de Tecozautla","Tecozautla","Bomanxotha, Gandho, Manguaní, Pañhé, Pared Blanca",2530616.34,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",80,NA,"Municipio_1",38010,38010,"bomanxotha, gandho, manguani, panhe, pared blanca","Tecozautla"
1103,13059,"Tecozautla",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","XI Huichapan","Pozo rehabilitado y equipados","Infraestructura Hídrica","Macrorregión 2. Tula",2023,"Reubicación y perforación de pozo de uso público urbano para abastecer a las comunidades de Guadalupe, Bajhí, El Palmar, San José del Desierto, municipio de Tecozautla","Tecozautla","Guadalupe, Bajhí, El Palmar, San José del Desierto",4517673.87,"1",NA,"CEAA","Extraordinario de la CEAA",NA,"Considera los trabajos para la rehabilitación y equipamiento de pozo en las localidades de  Guadalupe, Bajhí, El Palmar, San José del Desierto municipio de Tecozautla",1641,NA,"Municipio_1",38010,38010,"guadalupe, bajhi, el palmar, san jose del desierto","Tecozautla"
1109,13059,"Tecozautla",NA,"1er. Informe JMS","septiembre 2022-agosto 2023","XI Huichapan","Carreteras Reconstruidas y Conservadas","Infraestructura Carretera","Macrorregión 2. Tula",2023,"Reconstrucción del camino Gandhó - Rancho Viejo - El Geiser - La Salitrera - Uxdejhe (Estatal 101) del Km 0+000 Al Km 4+000, en el municipio Tecozautla.","Tecozautla","Varias",19283628.09,"1",NA,"DGOPI","Innovación 2024",2.7,"Considera trabajos para la reconstrucción y/o conservación de Infraestructura Carretera en la localidad de Varias municipio de Tecozautla",3746,NA,"Municipio_1",38010,38010,"varias","Tecozautla"
1110,13060,"Tenango de Doria",NA,"2do. Informe JMS","septiembre 2023-agosto 2024","II Tulancingo de Bravo","Vivienda Asequible","Vivienda Asequible","Macrorregión 3. Tulancingo",2024,"Construcción de cuartos dormitorios en el municipio de Tenango de Doria","Tenango de Doria","Agua Zarca, Cerro Chiquito, El Aguacate, El Dequeña, El Xuthi, Huasquilla, La Palizada, Linda Vista, Los Ahilares, San Isidro La Laguna, Santa María Temaxcalapa, Tenango De Doria",2992297.92,"0",NA,"CEVI","CARTERA CEVI 2024",NA,"Considera los trabajos de construcción de cuarto dormitorio en terreno del beneficiario.",80,NA,"Municipio_1",17503,17503,"agua zarca, cerro chiquito, el aguacate, el dequena, el xuthi, huasquilla, la palizada, linda vista, los ahilares, san isidro la laguna, santa maria temaxcalapa, tenango de doria","Tenango de Doria"
